5409017,wetcaringpussy10,/photos/018/197/700/18197700/large_for_new_client_2_.jpg?1320422455,7.7,26,29,Just wanna be happy with someone really special
5407616,jessijo707,/photos/018/194/469/18194469/large_336286_2309177138829_1531378684_32497362_2057.jpg?1320257603,9.1,2405,18,Rate! Rate! Rate! (;
5406915,xx-Yasmine-xx,/photos/018/194/055/18194055/large_meee_1.jpg?1320240285,7.4,2,25,Em Hotep Nefer .... :))
5407408,bettyboob1,/photos/018/197/644/18197644/large_Captucdcddre4.jpg?1320420413,7.6,8,27,How HOT am I??
5405197,Kitty_kat_lady,/photos/018/195/271/18195271/large_DSC01207.jpg?1320285408,8.2,526,21,What to say I wonder
5215069,xxpippyxx,/photos/018/189/958/18189958/large_assassin.jpg?1320026389,9.1,883,26,fun and outgoing!! like playing games
5249191,rubieebabes,/photos/018/190/472/18190472/large_Rubaaaayy.jpg?1320043789,9.4,945,20,"Well, my name's Rubie. I'm 20 from the UK. I'm just looking for friendship:)"
5265304,dee_monster,/photos/018/189/781/18189781/large_0.jpg?1320018158,9.2,849,24,"Hey, just here to talk to new people."
5269892,Tasha_NYC,/photos/018/148/287/18148287/large_l_c009c6700c8845c68ce5e6573a17bfcd.jpg?1317918033,9.1,1790,27,"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best."
5276533,sak07,/photos/018/187/648/18187648/large_cop22.jpg?1319909272,9.2,937,22,hiiiiiiiiiiiiiiiiiiii
5296506,Electriclights,/photos/018/167/216/18167216/large_222099_10150178680519668_763274667_6713630_71.jpg?1318852609,9.3,400,18,Fernanda Aldama
5303659,Taylor815,/photos/018/196/852/18196852/large_017.jpg?1320369599,9.1,178,19,"Well, hello there. :)"
5305485,anaelipr2000,/photos/018/193/423/18193423/large_large_0624111147-01.jpg?1320201361,9.3,689,29,&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;Only me&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
5309202,sofibabee,/photos/018/190/651/18190651/large_SAM_1589.jpg?1320053494,9.3,1041,30,"This is me, Sofie. Hope you like me!"
5309871,lilballofhate666,/photos/018/194/136/18194136/large_IMG_0074-3.jpg?1320244920,9.3,815,35,"Just looking... Some have it, most don't."
